EST,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees
2013-2-17,0,-4,-8,-8,-12,-18,84,62,39,1005,999,995,16,7,0,64,35,87,5.08,8,Niebla-Nieve,311
2013-2-18,1,-4,-9,-17,-18,-19,51,38,25,1021,1014,1005,16,16,16,53,32,69,0.00,2,,284
2013-2-19,7,2,-3,6,-3,-17,96,65,33,1021,1012,1002,16,12,3,35,16,40,11.43,6,Lluvia,210
2013-2-20,6,2,-3,3,-7,-13,96,69,42,1008,1004,1001,16,16,16,39,27,60,0.25,5,Lluvia,276
2013-2-21,1,-2,-4,-10,-12,-13,57,48,39,1022,1012,1008,16,16,16,42,28,60,0.00,3,,303
2013-2-22,3,0,-3,-4,-7,-9,69,63,56,1029,1027,1024,16,16,16,32,15,39,0.00,5,,14
2013-2-23,3,2,0,1,-2,-5,89,78,66,1027,1021,1013,16,14,5,23,10,32,5.84,8,Lluvia-Nieve,117
2013-2-24,3,1,-2,2,0,-2,100,93,85,1012,1008,1005,13,4,1,37,21,48,20.83,8,Lluvia-Nieve,6
2013-2-25,5,2,-2,-1,-2,-4,100,80,59,1024,1019,1013,16,15,6,19,12,24,0.25,7,Nieve,15
2013-2-26,5,2,-2,0,-1,-2,96,83,70,1028,1026,1022,16,15,11,27,11,32,0.00,5,,114
2013-2-27,4,4,3,4,3,1,100,91,82,1021,1010,1001,16,5,2,50,32,63,34.80,8,Lluvia-Nieve,66
2013-2-28,7,4,1,2,1,0,100,83,65,1004,1002,1000,16,14,3,21,10,37,0.00,7,,322
2013-3-1,5,3,1,1,-2,-3,92,76,59,1005,1003,1000,16,16,16,27,15,34,0.00,8,,341
2013-3-2,6,3,1,-2,-3,-5,70,62,54,1005,1004,1003,16,16,16,26,14,34,0.00,7,,308
2013-3-3,6,3,1,-1,-3,-5,82,70,57,1004,1003,1001,16,15,11,29,14,45,T,8,Lluvia-Nieve,306
2013-3-4,5,2,-1,-3,-6,-7,75,60,44,1007,1003,1002,16,14,3,40,28,52,T,6,Nieve,305
2013-3-5,6,3,0,1,-3,-7,82,68,53,1018,1014,1007,16,16,14,39,17,52,T,7,Lluvia,359
2013-3-6,5,3,2,1,1,-2,89,77,64,1020,1019,1017,16,14,4,58,37,76,1.27,8,Lluvia-Nieve,60
2013-3-7,3,1,-1,1,-1,-2,100,88,75,1017,1016,1015,16,2,0,56,38,71,2.79,8,Niebla-Lluvia-Nieve,18
2013-3-8,6,2,-2,-1,-3,-6,100,73,45,1021,1016,1014,16,5,0,61,29,77,9.14,7,Niebla-Nieve,10
2013-3-9,3,2,-1,-1,-3,-7,82,67,52,1028,1024,1021,16,16,16,29,18,35,0.00,1,,35
2013-3-10,3,1,-2,-1,-2,-4,89,80,70,1030,1028,1027,16,16,11,16,11,21,0.00,5,,73
2013-3-11,10,6,2,4,2,-1,89,77,65,1027,1024,1022,16,16,14,27,16,37,0.00,6,,198
2013-3-12,12,8,4,11,7,3,100,92,83,1022,1014,1007,16,13,6,40,19,53,7.37,7,Lluvia,168
2013-3-13,11,7,4,10,-1,-8,100,66,31,1009,1007,1006,16,16,14,32,20,40,T,4,,287
2013-3-14,4,-1,-5,-6,-11,-15,56,47,38,1010,1008,1006,16,16,16,40,27,56,0.00,4,,287
2013-3-15,5,-1,-6,-4,-12,-17,64,45,25,1011,1008,1004,16,16,16,42,24,56,0.00,5,,276
2013-3-16,4,2,-1,-5,-11,-15,59,42,25,1012,1009,1006,16,16,16,32,13,42,0.00,6,,299
2013-3-17,3,0,-4,-11,-13,-17,50,37,23,1027,1018,1012,16,16,16,37,19,52,0.00,3,,329
2013-3-18,1,-3,-6,-3,-12,-19,92,62,32,1032,1028,1025,16,14,2,35,16,39,1.27,6,Nieve,118
2013-3-19,2,0,-2,2,0,-4,100,93,85,1024,1010,1003,16,3,0,50,36,58,17.27,8,Niebla-Lluvia-Nieve,56
2013-3-20,4,1,-3,-5,-7,-9,81,61,40,1010,1007,1006,16,16,16,42,23,53,0.00,3,,266
2013-3-21,2,1,-1,-2,-5,-10,92,68,43,1010,1006,1003,16,12,2,19,9,26,0.51,7,Nieve,46
2013-3-22,4,2,-2,-3,-8,-10,85,60,34,1007,1005,1003,16,16,16,35,20,45,0.00,5,,290
2013-3-23,7,3,-1,-6,-8,-9,63,48,33,1008,1006,1003,16,16,16,47,27,58,0.00,2,,288
2013-3-24,9,5,1,-1,-5,-8,76,55,34,1010,1008,1007,16,16,16,37,16,45,0.00,2,,298
2013-3-25,7,4,1,2,-1,-4,76,68,59,1008,1004,1000,16,16,16,40,22,48,T,7,Lluvia,31
2013-3-26,10,6,1,0,-4,-9,89,58,26,1008,1004,1000,16,15,3,29,17,37,1.27,5,Nieve,335
2013-3-27,13,8,2,-1,-5,-7,62,45,28,1011,1009,1007,16,16,16,34,19,48,0.00,4,,319
2013-3-28,9,6,3,1,0,-1,85,69,53,1016,1014,1011,16,16,16,24,14,35,T,8,Lluvia,335
2013-3-29,13,9,4,2,-1,-2,70,53,35,1017,1016,1015,16,16,16,34,14,40,0.25,5,Lluvia,308
2013-3-30,12,8,4,1,-2,-7,62,45,28,1019,1017,1016,16,16,16,29,13,35,0.00,3,,335
2013-3-31,15,8,1,4,-2,-6,76,52,28,1020,1017,1008,16,16,14,42,16,56,0.76,6,Lluvia,162
2013-4-1,17,9,2,7,3,-12,100,66,32,1009,1003,999,16,12,3,45,23,61,3.05,6,Lluvia,251
2013-4-2,6,3,-1,-9,-12,-13,47,37,27,1014,1011,1010,16,16,14,48,27,64,T,3,Nieve,273
2013-4-3,8,4,-1,-8,-12,-14,54,37,19,1021,1015,1014,16,16,16,45,30,61,0.00,2,,278
2013-4-4,13,7,0,-4,-9,-13,54,35,16,1026,1022,1018,16,16,16,35,22,47,0.00,0,,258
2013-4-5,14,9,3,1,-3,-8,70,47,24,1017,1010,1004,16,16,16,40,20,52,0.00,5,,253
2013-4-6,8,4,1,-6,-13,-18,56,35,14,1027,1022,1012,16,16,16,39,19,61,0.00,1,,313
2013-4-7,12,6,0,4,-2,-7,76,53,29,1027,1022,1016,16,16,16,53,25,69,0.00,5,,197
2013-4-8,17,13,8,6,4,1,86,76,66,1020,1017,1014,16,16,16,32,16,39,0.00,4,,192
2013-4-9,23,15,7,10,6,3,93,64,35,1019,1014,1011,16,15,6,40,14,53,1.52,6,Lluvia-Tormenta,164
2013-4-10,12,10,7,7,6,5,93,82,71,1016,1014,1012,16,16,5,29,10,34,4.83,7,Lluvia,103
2013-4-11,9,8,6,7,5,2,93,80,66,1021,1015,1010,16,10,1,26,11,40,1.02,8,Lluvia,60
2013-4-12,6,5,3,3,2,-2,92,78,64,1022,1017,1009,16,11,2,48,30,58,8.89,8,Lluvia,85
2013-4-13,11,7,2,4,2,1,92,73,54,1014,1010,1008,16,14,3,37,14,45,0.51,8,Lluvia,28
2013-4-14,13,9,6,3,-1,-4,76,56,35,1023,1017,1013,16,16,16,37,17,47,T,5,Lluvia,283
2013-4-15,9,7,3,4,1,-3,76,63,50,1029,1028,1023,16,16,16,32,17,37,0.00,5,,85
2013-4-16,18,11,4,9,4,1,85,64,42,1030,1025,1019,16,16,16,48,24,58,T,4,Lluvia,197
2013-4-17,19,14,8,11,4,-3,77,51,24,1027,1022,1018,16,16,16,32,15,42,T,4,,314
2013-4-18,17,12,7,6,2,-2,71,52,33,1031,1027,1021,16,16,16,40,22,47,0.00,3,,126
2013-4-19,24,18,12,16,13,7,100,77,54,1021,1013,1005,16,15,2,48,29,66,1.27,7,Lluvia,202
2013-4-20,18,13,7,16,5,-6,93,63,32,1023,1010,1003,16,14,6,39,24,52,9.65,7,Lluvia,274
2013-4-21,10,7,3,-1,-6,-8,62,45,27,1039,1033,1024,16,16,16,37,17,50,0.00,1,,329
2013-4-22,9,6,2,2,-1,-3,76,61,46,1042,1040,1036,16,16,16,35,22,40,0.00,4,,67
2013-4-23,6,6,5,5,3,-1,93,79,65,1036,1028,1020,16,7,3,37,27,45,3.30,8,Lluvia,44
2013-4-24,21,13,6,9,7,4,96,68,40,1018,1013,1009,16,13,3,37,23,53,T,6,Lluvia,334
2013-4-25,19,14,9,11,4,-6,86,53,19,1025,1017,1011,16,16,13,40,17,52,0.76,5,Lluvia,277
2013-4-26,11,9,7,5,3,-2,89,65,41,1031,1029,1026,16,16,16,29,16,35,0.00,2,,62
2013-4-27,13,9,6,6,3,-1,89,64,38,1030,1029,1026,16,16,16,27,12,34,0.00,2,,125
2013-4-28,17,12,7,6,3,-4,70,51,32,1028,1026,1024,16,16,16,39,16,45,0.00,3,,162
2013-4-29,20,14,9,8,3,-10,80,48,16,1026,1024,1023,16,16,16,32,16,40,0.00,6,,179
2013-4-30,16,12,8,5,1,-6,77,50,22,1029,1027,1025,16,16,16,26,12,39,0.00,2,,134
2013-5-1,16,12,7,7,3,-1,77,57,36,1033,1031,1029,16,16,16,24,10,27,0.00,1,,111
2013-5-2,21,12,2,8,5,3,82,58,33,1033,1031,1029,16,16,16,40,14,47,T,3,Lluvia,128
2013-5-3,12,9,7,7,4,1,80,70,60,1034,1032,1029,16,16,16,32,16,39,0.00,2,,42
2013-5-4,11,9,7,6,4,3,82,71,59,1029,1028,1027,16,16,16,26,15,34,0.00,1,,75
2013-5-5,12,8,4,6,4,3,89,76,63,1027,1026,1025,16,16,11,24,14,27,0.00,2,,76
2013-5-6,13,9,6,9,7,6,100,89,77,1026,1024,1022,16,11,0,24,11,27,0.00,5,,128
2013-5-7,22,16,8,13,11,7,93,75,56,1022,1021,1020,16,16,16,29,15,35,0.00,2,,160
2013-5-8,19,16,12,14,12,11,100,89,78,1024,1022,1018,16,9,0,35,18,42,9.40,6,Niebla-Lluvia,89
2013-5-9,17,14,12,15,13,12,100,94,87,1018,1015,1012,16,7,0,23,8,24,15.49,8,Niebla-Lluvia-Tormenta,79
2013-5-10,21,17,13,15,13,12,100,82,63,1014,1013,1012,16,11,0,26,11,32,1.52,6,Lluvia,310
2013-5-11,22,19,15,16,14,12,90,78,66,1013,1008,1006,16,16,11,32,19,69,0.51,7,Lluvia,203
2013-5-12,23,17,11,15,11,-3,97,65,32,1009,1004,1001,16,15,10,40,17,53,1.02,6,Lluvia,238
2013-5-13,16,12,8,-1,-3,-4,53,40,27,1017,1014,1010,16,16,16,34,20,50,0.00,3,,277
2013-5-14,16,11,7,0,-2,-4,58,43,28,1017,1016,1015,16,16,16,26,18,39,T,4,,315
2013-5-15,19,13,7,11,4,-1,86,59,32,1018,1013,1005,16,16,16,40,17,50,T,4,Lluvia,211
2013-5-16,28,20,12,11,4,-2,93,56,18,1009,1005,1003,16,16,14,40,21,58,0.00,2,,270
2013-5-17,21,17,12,8,5,3,66,49,31,1023,1017,1010,16,16,16,35,19,48,0.00,2,,350
2013-5-18,19,15,11,11,7,5,77,61,44,1027,1025,1024,16,16,16,32,16,37,0.00,3,,190
2013-5-19,17,14,10,12,10,7,93,78,62,1028,1026,1024,16,14,2,32,13,39,4.32,6,Lluvia,124
2013-5-20,28,21,13,16,14,12,100,76,51,1024,1017,1013,16,15,5,23,11,35,0.76,7,Lluvia,206
2013-5-21,19,15,11,15,13,10,100,89,78,1016,1014,1012,16,7,0,35,15,42,0.25,6,Niebla-Lluvia,62
2013-5-22,16,13,11,12,11,9,100,90,80,1018,1014,1013,16,12,2,29,13,35,1.27,8,Lluvia,84
2013-5-23,25,18,12,19,15,12,100,85,69,1013,1012,1010,16,8,0,42,17,52,1.27,8,Niebla-Lluvia,134
2013-5-24,21,16,11,18,16,9,93,86,78,1010,1007,1005,16,14,3,29,16,40,14.48,8,Lluvia,232
2013-5-25,12,9,6,11,8,3,96,89,82,1010,1007,1006,16,9,3,39,23,50,8.64,8,Lluvia,337
2013-5-26,16,11,5,4,3,2,86,63,39,1019,1011,1006,16,16,16,42,25,61,1.27,7,Lluvia,294
2013-5-27,23,16,8,7,2,-1,76,49,22,1022,1020,1018,16,16,16,35,16,42,0.00,1,,288
2013-5-28,18,14,11,11,8,4,77,62,46,1024,1023,1022,16,16,16,24,11,29,0.00,5,,83
2013-5-29,21,18,14,17,14,12,100,88,76,1023,1019,1016,16,11,3,29,10,40,21.34,8,Lluvia-Tormenta,168
2013-5-30,31,25,18,18,17,17,87,65,43,1019,1017,1016,16,16,16,32,17,45,0.00,2,,264
2013-5-31,34,28,22,18,17,16,73,53,33,1019,1016,1013,16,16,11,34,18,42,0.00,1,,261
2013-6-1,33,27,21,18,17,16,69,54,38,1015,1013,1011,16,16,16,35,21,48,0.00,2,,226
2013-6-2,31,26,20,19,18,17,84,65,46,1012,1010,1007,16,16,11,52,25,64,0.00,3,,207
2013-6-3,25,21,17,19,17,4,87,62,37,1011,1010,1008,16,12,2,29,16,37,18.03,7,Lluvia,246
2013-6-4,23,18,13,7,5,3,55,44,33,1019,1014,1010,16,16,16,34,19,47,0.00,2,,310
2013-6-5,22,18,14,11,7,4,62,49,36,1022,1021,1020,16,16,16,29,14,35,0.00,4,,260
2013-6-6,21,17,14,12,10,6,80,60,39,1022,1021,1020,16,16,16,32,15,35,0.51,7,Lluvia,161
2013-6-7,14,14,13,13,12,10,100,92,83,1020,1016,1010,16,8,1,35,19,45,77.98,8,Lluvia,69
